団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
082325,茨城県神栖市,78.6,79.7,65,67.4,45.9,38.3,40.7,43.1,46.8
082333,茨城県行方市,61.2,63,65,67.1,68.7,70.8,72.7,74.8,76.6
082341,茨城県鉾田市,66,52,71.4,57.4,59.4,61.5,63.6,65.7,67.7
082350,茨城県つくばみらい市,,41.4,37.1,41,44.6,48.4,46.4,50.3,54.2
082368,茨城県小美玉市,67.4,62.3,65,63.1,65.1,67.2,69.2,71.3,73.4
083020,茨城県茨城町,49.1,51.9,54,55.6,57.8,59.8,61.7,63,58.1
083097,茨城県大洗町,8.1,10.1,12.1,14.1,16.1,18.2,20.2,21.9,24
083101,茨城県城里町,13,14.9,6,8,10,12,14,16,18
083411,茨城県東海村,40.2,39,39.3,41.3,43.1,40.1,42.6,45.1,47.4
083640,茨城県大子町,,92.2,92.6,93,93.4,93.8,94.2,21,24.8
084425,茨城県美浦村,,48.2,51.4,54.6,57.9,60.9,64.3,67.3,70.5
084433,茨城県阿見町,63.8,49.1,51.9,54.4,57.2,59.4,62,63.8,65.4
084476,茨城県河内町,72.7,69.2,71.3,73.7,76.1,77.5,77.1,77.9,79.5
085219,茨城県八千代町,27,29.8,32.6,35.4,37.7,40.6,43,44.9,47.8
085421,茨城県五霞町,,,86.2,,,92.5,93.2,94.3,94.3
085464,茨城県境町,24,30.8,33,35,36.9,38.8,40.7,42.7,44.6
085642,茨城県利根町,54.2,50,55.7,57.8,60,61.9,63.7,66,68.3
092011,栃木県宇都宮市,,52.8,54.4,56.2,57.5,59.4,62.6,65.3,67.6
092029,栃木県足利市,,85.5,87.4,89.4,91.2,92.9,94.6,96.3,98.1
092037,栃木県栃木市,,64,23.6,25.6,28.7,29.3,30.9,30.9,34.8
092045,栃木県佐野市,,14.7,19.9,18.5,21.9,25.2,27.6,30.8,34.1
092053,栃木県鹿沼市,74.1,75.7,76.3,71.6,73.4,90.6,14.1,11.3,11.7
092061,栃木県日光市,,68.4,58.7,26.3,21.2,14.2,16.6,19.1,21.6
092088,栃木県小山市,,69.2,90.3,91.2,91.6,68.8,18.3,21.8,17.4
