団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
014290,北海道栗山町,100,100,100,100,100,100,100,100,100
014303,北海道月形町,,,,,,,,,
014311,北海道浦臼町,,,,,,,,,
014320,北海道新十津川町,33.5,,,,,,,,
014338,北海道妹背牛町,,,,47,49.2,47.5,49.6,51.8,53.9
014346,北海道秩父別町,,73.5,75.5,77.4,79.3,81.3,83.2,84.5,86
014362,北海道雨竜町,,,82.1,80.8,85.5,86.1,91.4,,
014371,北海道北竜町,,60.6,62.4,64.3,66,67.6,68.6,67.3,69.6
014389,北海道沼田町,,,,,,,,,
014524,北海道鷹栖町,94.2,,,,,,,,
014532,北海道東神楽町,45.4,34.9,,56.7,58.7,60.7,62.8,43.2,47
014541,北海道当麻町,38.3,,,62.3,62.3,,,,
014559,北海道比布町,,,,62.3,62.3,,,,
014567,北海道愛別町,47.7,45.9,48.4,51.5,54.4,57.3,60.2,63.1,66
014575,北海道上川町,,,,,,,,,
014583,北海道東川町,,,,,,,,,
014591,北海道美瑛町,29.4,40.4,43.6,45.9,47.9,50,52.1,55,57.4
014605,北海道上富良野町,58.2,,,,,,62.4,50,1
014613,北海道中富良野町,,,,,,,,,
014621,北海道南富良野町,38.3,39.1,36.6,43.4,45.8,48.7,52,55.2,58.5
014630,北海道占冠村,,,,,32,38,40,14.9,16.9
014648,北海道和寒町,66.1,65.1,62,64,66.3,68.7,71.6,74.2,76.8
014656,北海道剣淵町,,,,,,,,,
014681,北海道下川町,,,50.4,53.4,53.1,56.2,59.3,60.4,63.5
014699,北海道美深町,,,,,,,,,
014702,北海道音威子府村,,,,,,,,,
014711,北海道中川町,37.7,67.6,70.4,67.4,71.4,75.4,79.3,83,89.3
014729,北海道幌加内町,,44.6,47.5,50.1,52.7,54.9,56.3,60.3,62.5
014818,北海道増毛町,,100,100,100,100,100,100,17.9,19.4
014826,北海道小平町,,50.7,96.5,93.8,67.5,69.8,72.2,73,75.2
014834,北海道苫前町,,54.1,56,72.1,59.6,61.4,63.2,63.6,65.3
014842,北海道羽幌町,,,,,,,,,
014851,北海道初山別村,,40.3,42.5,42.5,44.8,47,,,
014869,北海道遠別町,,49.8,51.7,53.9,56,56,,,
014877,北海道天塩町,,49.8,51.7,53.9,56,56,60.3,60.3,60.3
015113,北海道猿払村,,,,,,,,,
015121,北海道浜頓別町,,81.3,,,,,,,
015130,北海道中頓別町,,,,,,,,,
015148,北海道枝幸町,,100,100,100,100,88.3,90,91.8,42.5
015164,北海道豊富町,38.6,38.6,43,,,48.8,52.2,54,57.6
015172,北海道礼文町,33,35.2,37.4,39.6,41.2,43.5,45.7,48,50.3
015181,北海道利尻町,43.6,48,50.5,52.9,55.4,57.8,60.3,62.7,65.2
015199,北海道利尻富士町,,,,,,,,61.5,60.1
015202,北海道幌延町,23.1,25,26.9,28.7,30.6,38.7,40.5,42.4,
015431,北海道美幌町,,40,41.8,43.7,45.6,40.8,41,42.8,
015440,北海道津別町,,,,,,,,,
015458,北海道斜里町,79.1,61,81,82.9,84.9,71.2,75.3,77.3,78
015466,北海道清里町,,,,,1.9,3.9,3.9,9.2,10.5
015474,北海道小清水町,,41.8,39.3,39.9,42.4,44.8,46.9,49.5,52.6
015491,北海道訓子府町,,,,,,,,,
015504,北海道置戸町,40.8,41.6,45.5,48,,48.7,56.4,57.9,60.1
015521,北海道佐呂間町,62,64.5,47.7,49.7,51.6,53.6,55.6,57.6,59.6
015555,北海道遠軽町,,61.8,,65.5,67.4,69.2,71.1,72.9,62.7
015598,北海道湧別町,70.1,53.2,45.8,48,57.1,59.1,67.7,70.6,72.1
