団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
152170,新潟県妙高市,,,,,,,,,
152188,新潟県五泉市,,32.4,35.1,37.1,39.2,41.2,43.2,45.2,46.6
152226,新潟県上越市,33.8,37.7,36.6,37.8,40.2,42.7,44.7,46.8,48.9
152234,新潟県阿賀野市,35.8,42.5,39.4,41.8,41.9,44.3,46.6,46,49.1
152242,新潟県佐渡市,,78.2,78.2,79.9,83.2,84.9,86.6,,
152251,新潟県魚沼市,,,,0,1.9,6.4,11,15.6,20.1
152269,新潟県南魚沼市,5.4,8,10.6,13.2,15.7,18.3,20.9,23.5,26.1
152277,新潟県胎内市,,100,100,100,100,100,99.7,99.7,99.8
153079,新潟県聖籠町,5.4,10.9,16.3,23,28.8,34.5,38.1,41.8,45.6
153427,新潟県弥彦村,,,,,,,,,64.2
153613,新潟県田上町,,,,,,,,,
153851,新潟県阿賀町,,80.1,83.4,82.5,85.1,86.3,87.4,88.5,
154059,新潟県出雲崎町,,,,,,,,,
154610,新潟県湯沢町,,,,,,,,,
154822,新潟県津南町,,,,,,,,,
155047,新潟県刈羽村,,,,,,,,,
155811,新潟県関川村,,,,,,,,,
155861,新潟県粟島浦村,,,,,,,,,
162019,富山県富山市,,3.1,5.7,22.8,22.8,27.8,30.3,28.8,18.3
162027,富山県高岡市,65,60,59.9,62.2,67.8,57.7,63,54.6,54.1
162043,富山県魚津市,37.8,41.1,44.4,47.7,50.1,51.6,53,54.3,55.5
162051,富山県氷見市,,100,100,,,,100,100,100
162060,富山県滑川市,47.4,46.9,47.5,49.8,52,54.1,56.4,58.7,61
162078,富山県黒部市,,51.6,53.6,55.6,57.6,59.6,61.6,63.6,19.2
162086,富山県砺波市,63.4,62.2,60,69.4,71.4,6.9,10.5,10.5,14.1
162094,富山県小矢部市,,58.3,60.3,62.3,15.2,3.6,7.2,10.8,14.4
162108,富山県南砺市,47.9,49.8,51.7,53.7,55.7,56.4,59.7,61.7,63.7
162116,富山県射水市,,50.2,51.7,52.3,53,55.3,64.4,63.3,66.3
163210,富山県舟橋村,36,37.9,,,,45.9,,43.6,46
163228,富山県上市町,54,56,58,59.6,61.1,61.1,65.2,67.1,
163236,富山県立山町,14.4,19.3,24.8,29.8,34.7,39.6,44.7,49.7,54.6
163422,富山県入善町,71.8,71.7,73.2,77.1,78.7,80.2,81.6,83,84.4
163431,富山県朝日町,2,4,6,10,12,14,16,18,20.1
172014,石川県金沢市,,,,41.8,43.9,47.6,37.9,39.4,41.4
172022,石川県七尾市,,48.5,,23.1,25.1,27.1,29.1,31.1,33.1
172031,石川県小松市,,43.2,45.4,47.6,49.8,50.3,52.7,55.1,57.4
172049,石川県輪島市,,71,,,,,,83.6,85.7
172057,石川県珠洲市,82,84,86,0,3.4,6.9,10.3,13.7,17.2
172065,石川県加賀市,,50.2,51.7,52.3,54.9,56.9,58.9,60.9,62.8
172073,石川県羽咋市,40,41.8,43.9,45.6,47.7,49.8,51.4,53.2,55.4
172090,石川県かほく市,,34,36.5,43.4,45.8,47.9,45.9,48.3,50.5
172103,石川県白山市,,43.4,40,43.7,47.4,49.5,54.8,58.5,62.2
172111,石川県能美市,28.6,30.6,32.2,34.3,35.8,37.7,39.8,42,44.1
172120,石川県野々市市,,91.7,0,3.9,7.7,11.6,15.4,19.3,23.1
173240,石川県川北町,,52,54,56,58,60,62,64,66
173614,石川県津幡町,21.3,24.2,26.4,28.6,30.8,31.4,33.8,36.3,38.8
173657,石川県内灘町,,71.9,73.9,75.9,77.9,79.9,81.9,83.9,85.9
173843,石川県志賀町,44,46,48,50,52,54,55.5,57.5,59.6
173860,石川県宝達志水町,,64.2,66.2,68.2,,,,,
174076,石川県中能登町,,42.7,45.1,,48.6,50.6,47.2,49.2,51.2
174611,石川県穴水町,,,,,,,,,
174637,石川県能登町,,,,,,,,,
182010,福井県福井市,,,68.2,69.5,70.9,72.2,73.6,74.5,37.9
182028,福井県敦賀市,46.2,48.2,50.2,52.2,54.1,58,60,61.9,63.7
182044,福井県小浜市,,49.5,51.6,52.5,54.8,54.5,57,59.2,
182052,福井県大野市,,43.2,45.4,47.5,49.7,51.8,53.8,55.9,57.8
