団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
014362,北海道雨竜町,,57.1,59.5,,,,,,
014371,北海道北竜町,,,,,,,,,
014389,北海道沼田町,61.1,64.1,62.8,64.3,66.3,65.6,66.4,67.9,69.3
014524,北海道鷹栖町,,50.6,52.8,55,57.2,59.4,61.1,63,65
014532,北海道東神楽町,,,,75.6,78.3,81,83.7,68.1,2.2
014541,北海道当麻町,,,,,,,,,
014559,北海道比布町,,,,,,,,,
014567,北海道愛別町,,,,,,,,,
014575,北海道上川町,64.8,66.9,,68.2,69,70.2,70.5,71.7,72.6
014583,北海道東川町,,,,,,,,,
014591,北海道美瑛町,77.6,89.4,91,92.5,,,,,
014605,北海道上富良野町,,,,,,,,,
014613,北海道中富良野町,,,,,,,,,
014621,北海道南富良野町,,,,,,,,,
014630,北海道占冠村,,,,,80.7,91.5,97.7,97.9,98.1
014648,北海道和寒町,,,,,,,,,
014656,北海道剣淵町,,,,,,,,,
014681,北海道下川町,,,72.5,75.2,78,80.7,82.9,82.3,85
014699,北海道美深町,,36,38,40,42,44,44,48,50.5
014702,北海道音威子府村,,,97,97.5,98,98.2,98.3,98.4,98.5
014711,北海道中川町,,,,,,,,,
014729,北海道幌加内町,,62.1,63.4,64.6,65.8,67,68.2,69.5,70.7
014818,北海道増毛町,,90.3,92,93.8,95.6,97.4,91.8,92.8,91.8
014826,北海道小平町,,,58.3,64.2,99.7,99.7,98.8,98.9,99
014834,北海道苫前町,,,,,,,,,
014842,北海道羽幌町,,,,,,,,,
014851,北海道初山別村,44.4,,,57.7,61.9,63.8,,,
014869,北海道遠別町,,,,,,,,,
014877,北海道天塩町,,,,,,,,,
015113,北海道猿払村,,,,,,,,,
015121,北海道浜頓別町,,,,,,,,,
015130,北海道中頓別町,,,,,,,,,
015148,北海道枝幸町,,,,,,,,,
015164,北海道豊富町,,,,,,,,,
015172,北海道礼文町,46,48,55.5,57.2,58.7,59.8,61,62,64.1
015181,北海道利尻町,28.6,33,35.2,37.4,39.4,41.6,43.8,46,47.8
015199,北海道利尻富士町,,,,,,,,,
015202,北海道幌延町,,,,,,,,,
015431,北海道美幌町,,17.4,20.2,8.6,11.3,14.1,16.9,20.3,23.1
015440,北海道津別町,,,,,,,,,
015458,北海道斜里町,,,,,,,,,
015466,北海道清里町,,,,,18,20,22,24,26
015474,北海道小清水町,,,,,,,,,
015491,北海道訓子府町,,,,,,,,,
015504,北海道置戸町,,,,,,,,,
015521,北海道佐呂間町,46.9,56.9,58.9,60.9,62.9,64.9,66.9,67.9,70
015555,北海道遠軽町,,88.5,,88.5,89.8,90.4,26.3,29,32
015598,北海道湧別町,69.9,46.6,42.1,44.1,86.6,100,100,100,100
015601,北海道滝上町,,59.4,,,,,,,32
015610,北海道興部町,,54,99.9,100,100,100,100,68,70
015628,北海道西興部村,,,,,,,,,
015636,北海道雄武町,,69.7,72.1,74.7,76.3,79,77.2,80.1,83
015644,北海道大空町,,,,,,,,,
015717,北海道豊浦町,,,,,,,,,
015750,北海道壮瞥町,,,,,,,,,
015784,北海道白老町,62.2,64.2,66.2,68.2,70.2,62.6,,,
015814,北海道厚真町,,93.4,,,,,,,
015849,北海道洞爺湖町,,,,,,,,,
015857,北海道安平町,,70.1,,68.8,71.5,72,74.8,77.7,80.6
015865,北海道むかわ町,,,,,,,,,
016012,北海道日高町,,68,70,72,74,75.9,78,80,80
016021,北海道平取町,,,,,,88.2,81.9,82.6,84.1
016047,北海道新冠町,42.1,44.1,45.3,47.3,49.4,51.5,53.6,55.4,57.3
016071,北海道浦河町,,44,46,88.7,50,52,54,56,58
016080,北海道様似町,,95.3,97.1,98.6,99.3,99.7,99.6,99.7,99.7
016098,北海道えりも町,,,,,,,,,
