団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
014290,北海道栗山町,71.3,62.8,64.2,66.3,68.4,70.7,70.1,71.5,74
014303,北海道月形町,,52.9,58.6,62,64.8,67.7,70.5,73.4,73.4
014311,北海道浦臼町,,,,46.1,48.8,51.2,54.7,59.4,61.9
014320,北海道新十津川町,67.5,73.1,75.9,78.7,81.5,84.3,86.7,88.9,91.1
014338,北海道妹背牛町,,,,,,,,,
014346,北海道秩父別町,,37,39.9,39.6,42.7,54.3,57.4,60.2,64.1
014362,北海道雨竜町,,54,94.1,94.1,94.5,94.5,94.5,72.9,75.6
014371,北海道北竜町,,48.2,,,,,,,
014389,北海道沼田町,,,,,,,,,
014524,北海道鷹栖町,48.3,51.5,54.8,57.9,61.2,64.4,67.3,70.6,73.8
014532,北海道東神楽町,,,,,,,,,
014541,北海道当麻町,,,,,,,,,
014559,北海道比布町,,,,,,,,,
014567,北海道愛別町,65.8,,,,,,,,
014575,北海道上川町,,,,,,,,,
014583,北海道東川町,,,,,,,,,
014591,北海道美瑛町,,,,,,,,,
014605,北海道上富良野町,47.1,48.5,48.7,55.2,50.9,53.3,54.1,57.3,60.9
014613,北海道中富良野町,,44.7,47.4,50.2,52.9,55.7,58.5,53.2,49
014621,北海道南富良野町,,44.6,48.1,51.4,53,54.6,56.2,57.8,59.4
014630,北海道占冠村,94.1,79.2,,,79.2,89.1,3.4,10,16.6
014648,北海道和寒町,47.6,52.9,53.1,56.7,60.1,63,66.4,71,73.1
014656,北海道剣淵町,52.6,55.9,57.5,60.5,63.1,66.6,68.1,69.7,71.6
014681,北海道下川町,,,0,6.7,7.4,9.9,15.1,20.5,25.9
014699,北海道美深町,,,,,,,,,
014702,北海道音威子府村,,,52.3,55.6,58.9,62.2,65.5,68.8,72.1
014711,北海道中川町,,41.6,43.9,46.7,48.1,40,42.9,45.9,48.9
014729,北海道幌加内町,,60.7,64.7,68.3,70.1,71.8,36.6,39.7,42.8
014818,北海道増毛町,,16.3,,,,,,,
014826,北海道小平町,,66.2,67.8,69.3,70.8,72.4,73.9,75.4,77
014834,北海道苫前町,,,,,,,,,
014842,北海道羽幌町,,,,78.1,80.6,83.1,85.6,87.6,89.3
014851,北海道初山別村,36.5,,,,,,,,
014869,北海道遠別町,,60.8,62.4,64.5,63.5,63.5,,,
014877,北海道天塩町,,60.8,62.4,64.5,63.5,63.5,57.4,57.4,57.4
015113,北海道猿払村,61.7,62.4,65.4,54,56.7,59.4,62.1,64.8,64.8
015121,北海道浜頓別町,,55.6,,,,,,,
015130,北海道中頓別町,,55.8,55.8,58.3,61.4,64.4,67.3,70,67.4
015148,北海道枝幸町,,52.2,54.6,57.5,57.8,90.1,90.3,90.4,90.9
015164,北海道豊富町,,,,,,,,,
015172,北海道礼文町,59.2,61.4,54.9,44,38.5,41.1,41.9,44.2,41
015181,北海道利尻町,,,,,,,,,
015199,北海道利尻富士町,,,,,,,,,
015202,北海道幌延町,38.9,41.6,43.9,64.5,63.5,55,57.4,59.8,
015431,北海道美幌町,,56.9,59.6,62.1,64.5,66.9,69.1,71.1,73.2
015440,北海道津別町,49.8,53,56.3,59.6,62.9,66.2,19.2,23.5,32.2
015458,北海道斜里町,40.9,40.6,45.1,51,55.1,55.5,61.6,66.8,72.5
015466,北海道清里町,,47,,,78.3,78.8,83.3,81,82.2
015474,北海道小清水町,,,,,,,,83.4,85.2
015491,北海道訓子府町,,,92.4,95.7,99,100,100,100,98.1
015504,北海道置戸町,40,60,80,,,100,100,100,100
015521,北海道佐呂間町,,61.7,64.5,67.3,69.9,72.4,74.9,77.4,79.8
015555,北海道遠軽町,,40.5,,56.8,59.6,62.3,65.1,67.8,70.5
015598,北海道湧別町,,54.8,54.8,57.5,60.2,63.7,66.3,68.9,71.6
015601,北海道滝上町,50.2,10,60.6,,,,89.1,90.5,94.5
015610,北海道興部町,,60.7,100,100,100,100,100,79.5,82
015628,北海道西興部村,45.4,48.5,51.6,54.7,57.9,61,64.1,67.3,71
015636,北海道雄武町,,84.5,87,89.6,89.9,92,94.2,95.5,96.8
015644,北海道大空町,65.4,69.1,71.8,73.4,74.1,75.2,75.6,76.5,75.8
015717,北海道豊浦町,37,45.2,51.7,63.2,72.3,73,74.4,76,77.4
015750,北海道壮瞥町,54.9,61.6,66.1,70.5,74.7,76,74.4,75.9,77.4
015784,北海道白老町,41.4,43.8,46.8,48.6,51,53.4,58,60.3,100
015814,北海道厚真町,,,,,,,,,
015849,北海道洞爺湖町,,4.5,6.4,13.5,18.1,22.6,27.1,31.6,36.2
015857,北海道安平町,,,,,,,,,
015865,北海道むかわ町,,,,,,,80.7,89.2,90.4
016012,北海道日高町,,,,,,,,,
016021,北海道平取町,,,,,,64.9,5.9,11.1,21
016047,北海道新冠町,,,,,,,,,
016071,北海道浦河町,,86.6,87.9,90.3,90.3,91.5,72.4,74.1,75.7
016080,北海道様似町,,,,,,,,73.5,74.8
016098,北海道えりも町,,,,,,,,,
016101,北海道新ひだか町,,,,,,,,,
016314,北海道音更町,,,,0,6.7,13.4,20.1,26.9,
016322,北海道士幌町,,,,,,,,69,
016331,北海道上士幌町,,,,67.8,67.8,74.4,77.7,81,84.3
016349,北海道鹿追町,,56.7,,42.2,45.1,47.9,50.7,53.5,56.3
016357,北海道新得町,,52,54.7,57.5,60.3,63,65.8,68.5,71.3
016365,北海道清水町,,61.6,65,68.2,60.2,56.7,60.9,65.2,69.3
016373,北海道芽室町,,,,,,,,,
016381,北海道中札内村,,,,,,,,,
016390,北海道更別村,,,,,,,,,
016411,北海道大樹町,,,,,,,,,
016420,北海道広尾町,,,84,,,,,,
016438,北海道幕別町,,,,,,,,,
016446,北海道池田町,48.3,,,,,,,,
016454,北海道豊頃町,,91.9,93.4,,,,,,
016462,北海道本別町,,,,,,,,,
016471,北海道足寄町,,78.4,81.3,83,84.4,18,20.4,22.7,24.9
016489,北海道陸別町,77.7,80.2,82.8,70.8,73.4,76.1,78.7,81.4,82.4
016497,北海道浦幌町,,,70.2,73.6,76.6,79.6,82.2,85,87.2
016616,北海道釧路町,,,,,,,,,
016624,北海道厚岸町,,62.4,78.4,70.2,72.7,71.4,71.2,71.2,71.2
016632,北海道浜中町,63,66.3,69.6,72.9,24.2,66.6,56.8,59,59.9
016641,北海道標茶町,,,,5.5,8.3,10.5,13.3,16.1,19
016659,北海道弟子屈町,,58.2,61,64,66.8,69.2,72,72,69.2
016675,北海道鶴居村,,42.7,45.3,48.2,51,53.9,56.8,59.8,62.4
016683,北海道白糠町,,47.2,51.9,54.7,57.4,71.2,94.3,94.6,95.1
016918,北海道別海町,97,60.9,60.7,61.4,62,62.4,61.8,62.6,62.8
016926,北海道中標津町,,39.6,41.9,45.5,49.1,52.5,55.6,58.8,62.8
016934,北海道標津町,,28.2,29.4,43.2,44.9,46.7,48.5,50.1,31.3
016942,北海道羅臼町,,,,,,,,,31.4
022012,青森県青森市,,26,31.4,35.9,40.2,44.5,49,53.4,57.7
022021,青森県弘前市,,63.1,36.2,37.5,40.6,45,49.4,53.7,57.9
022039,青森県八戸市,,,80.9,81.4,81.5,81.2,82.3,81.4,81
022047,青森県黒石市,,85.9,88.1,91.1,93.3,94.7,94.6,95.2,95.4
022055,青森県五所川原市,,52.9,56.2,74.1,75.8,52.1,63.4,65.9,67.9
022063,青森県十和田市,,,,,,,,,
022071,青森県三沢市,,69.2,70.1,70.3,71.5,58.1,74.7,73.6,74
022080,青森県むつ市,,50.5,53.1,41.9,44.6,47.3,50,55.3,58.1
022098,青森県つがる市,46.7,64.4,59.3,61.5,61.4,45.4,42.7,44.8,46.5
022101,青森県平川市,,70.5,73.4,,,81.8,84.7,87.7,90.7
023019,青森県平内町,,54.9,52.1,54.9,60.8,62.9,65.1,67.2,69.3
023035,青森県今別町,60.2,,61.5,63.8,65.7,68,71.1,73.4,75.7
023043,青森県蓬田村,48.6,48.3,51,48.7,56.3,78.1,62.8,67.1,69.5
023078,青森県外ヶ浜町,,36.7,23.4,24.7,27.6,29.8,32.1,34.5,36.6
023213,青森県鰺ケ沢町,,,,,,81,84,87,90
023230,青森県深浦町,,,,,,,,,
023434,青森県西目屋村,,,,,,,,,
023612,青森県藤崎町,,6.7,76.8,79.5,82.1,83.8,84.2,86.2,87.9
023621,青森県大鰐町,,53.2,58.1,60.5,63.8,66,65.6,69.4,73
023671,青森県田舎館村,,,,,,,,,
023817,青森県板柳町,,65.9,68.1,71.5,74.4,76.4,76.9,80.6,84.3
023841,青森県鶴田町,,,,,,,,,
023876,青森県中泊町,,41.9,,,,53.4,56.1,65.1,
024015,青森県野辺地町,67.6,45.5,48.1,50.6,53,55.6,57.7,73.5,76.3
024023,青森県七戸町,,93.7,95.2,95.5,95.7,95.9,84.3,85.3,83.2
024058,青森県六戸町,,,,,,,,,
024066,青森県横浜町,45.4,48.6,51.8,54.9,57.9,59.5,62.5,64.2,66
024082,青森県東北町,,93.7,95.3,95.6,95.8,96,84.6,85.7,83.2
024112,青森県六ケ所村,,85.5,86.4,87.2,88.4,89.6,92.3,91.5,89.8
024121,青森県おいらせ町,,,,,,,,,
024236,青森県大間町,,43.2,46.2,47.6,49.7,52.3,54.5,45.3,55.5
024244,青森県東通村,,36.5,39.2,41.8,44.5,47.2,49.9,52.6,55.4
024252,青森県風間浦村,87.9,65.2,68.3,72.6,75.6,77.5,79.1,78.3,81.7
024261,青森県佐井村,,87.6,39.2,,,,,,
024414,青森県三戸町,,,,,,,,,
024422,青森県五戸町,,,,,,,,,
024431,青森県田子町,,,,,,,,,
024457,青森県南部町,,,,,,,,,
024465,青森県階上町,,,,,,,,,
024503,青森県新郷村,,,,,,,,,
032018,岩手県盛岡市,,51.7,54.4,56.7,59.9,61.8,64.5,67.1,69.8
032026,岩手県宮古市,,,55,58.1,61,63.9,66.8,69.7,72.6
032034,岩手県大船渡市,,67.8,70.9,73.4,72.2,75.6,78.4,,
032051,岩手県花巻市,72.4,74.8,77.3,76.2,78.9,81.7,84.5,86.8,89
032069,岩手県北上市,,39.9,,,,72.5,69.7,70.6,66.7
032077,岩手県久慈市,,98.9,99,,,22.5,6.9,12.6,16.4
032085,岩手県遠野市,82.4,,90.2,91.3,92.3,93.4,94.5,95.6,96.7
032093,岩手県一関市,,,,,,,,,
032107,岩手県陸前高田市,,76.1,,,,,,,
032115,岩手県釜石市,92.1,94.8,96.9,63.1,64.4,65.1,66.6,67.6,68.8
032131,岩手県二戸市,,,,,,,,,
032140,岩手県八幡平市,,49.9,52.5,55.1,57.8,60.4,63,68.1,68.1
032158,岩手県奥州市,,,,,,,,,
032166,岩手県滝沢市,,,79.2,80.9,83,84.2,85.4,86.5,87.8
033014,岩手県雫石町,,,79.2,81,83.1,84.2,85.4,86.6,87.6
033022,岩手県葛巻町,62.2,65,67.7,70.4,70.9,69.9,72.3,75,77.8
033031,岩手県岩手町,35.1,42,45,46.6,49.3,52,54.9,57.9,60.8
033219,岩手県紫波町,,,,,30.4,33.8,37.3,41,44.6
033227,岩手県矢巾町,,40.6,43.6,35.7,39.5,43.2,47,50.8,54.6
033669,岩手県西和賀町,,61.8,64.5,67.2,69.9,72.7,75.4,78.1,80.8
033812,岩手県金ケ崎町,,,,,,,,,
034029,岩手県平泉町,,,,,,,,,
034410,岩手県住田町,,,,,,,,,
034614,岩手県大槌町,,,,,,,,40.1,43.2
034827,岩手県山田町,,,,,,,,,
034835,岩手県岩泉町,,,,,,,,,
034843,岩手県田野畑村,,,,,,,,,
034851,岩手県普代村,,98.9,99,99.1,99.2,22.5,6.9,12.6,
035017,岩手県軽米町,,,,,,,,,
035033,岩手県野田村,,98.9,99,99.1,99.2,22.5,6.9,12.6,16.4
035068,岩手県九戸村,,,,,,,,,
035076,岩手県洋野町,,98.9,99,99.1,99.2,22.5,6.9,12.6,16.4
035246,岩手県一戸町,,91,92.5,93.2,93.9,93.9,63.5,65.8,68.2
041009,宮城県仙台市,,67.9,71,72.2,75.2,71.3,73.4,76,78.5
042021,宮城県石巻市,,48.7,51.2,51.2,55.9,59.5,62.2,80.4,67.5
042030,宮城県塩竈市,,64.5,66.6,61.2,62.8,64.9,67.3,68.4,58.3
042056,宮城県気仙沼市,,,,,,73.7,75.2,58.3,59.4
042064,宮城県白石市,,27.4,32.8,37.2,41.5,45.8,50.1,54.5,58.8
042072,宮城県名取市,,,62.7,67,65.1,70,71.3,72.5,73.7
042081,宮城県角田市,,27.4,32.8,37.2,41.5,45.8,50.1,54.5,58.8
042099,宮城県多賀城市,,,,,,,,,
042111,宮城県岩沼市,,27.6,30.9,33.8,29.4,34.2,36.8,39.5,42.2
042129,宮城県登米市,,33.4,36.2,39,12,14.9,18.2,21.3,24.4
042137,宮城県栗原市,,72.1,73.2,6.7,6.7,13.4,20.1,26.8,33.5
042145,宮城県東松島市,62,64.7,67.4,70,73.9,76.5,79.1,81.7,84.3
042153,宮城県大崎市,,,,,,0,2.9,5.8,8.7
042161,宮城県富谷市,57.2,72.7,75.4,78,80.7,83.3,77.5,80.1,84.5
043010,宮城県蔵王町,,27.4,31.9,37.2,41.5,45.8,50.1,54.5,58.8
043028,宮城県七ケ宿町,,,32.8,37.2,41.5,45.8,50.1,54.5,58.8
043214,宮城県大河原町,,,32.8,37.2,41.5,45.8,50.1,54.5,58.8
043222,宮城県村田町,,27.4,32.8,37.2,41.5,45.8,50.1,54.5,58.8
043231,宮城県柴田町,,,32.8,37.2,41.5,45.8,50.1,54.5,58.8
043249,宮城県川崎町,67.4,27.4,31.9,37.2,41.5,45.8,50.1,54.5,58.8
043419,宮城県丸森町,,,32.8,37.2,41.5,45.8,50.1,54.5,58.7
043613,宮城県亘理町,,,,,,,,,
043621,宮城県山元町,,,,,,,,,
044016,宮城県松島町,,,,,,,,,
044041,宮城県七ケ浜町,,63.4,,70.7,69.7,72,68.2,71.4,73.6
044067,宮城県利府町,,63.4,,,,,,,
044211,宮城県大和町,55.8,,,,,,52.2,,
044229,宮城県大郷町,,,,,,,,,
044245,宮城県大衡村,,,,,,,,,
044440,宮城県色麻町,,,,,,,,,
044458,宮城県加美町,,,,,,,,,
045012,宮城県涌谷町,,,,,,,,,
045055,宮城県美里町,,,,,,,,,
045811,宮城県女川町,75.4,78.3,81.1,84,84,86.8,92.5,92.6,93.4
046060,宮城県南三陸町,,,76.4,77.6,78.9,80.1,81.3,80.5,81.7
052019,秋田県秋田市,56.2,60.8,65.1,73,73.2,71.7,70.9,70.6,78.5
052027,秋田県能代市,,69.2,71,73.3,74.2,76.9,79.7,78.5,76.2
052035,秋田県横手市,,16.1,18.8,21.4,14,16.6,19.3,22,24.3
052043,秋田県大館市,,95.2,94.7,94.8,95.3,94.1,94.1,91.4,90.5
052060,秋田県男鹿市,83,,,,78.5,81.8,57.3,61.4,65.5
052078,秋田県湯沢市,,56.4,59.1,61.8,64.5,67.2,69.7,67.2,70.1
052094,秋田県鹿角市,,75.9,78.3,80.7,83.1,83.1,66.1,68.4,70.4
052108,秋田県由利本荘市,,55.3,58,60.7,63.4,66,68.7,69.8,72.5
052116,秋田県潟上市,,,49.1,53,56.8,60.6,64.2,66.5,77.5
052124,秋田県大仙市,,,,,56.7,46.5,44.8,51.9,54.6
052132,秋田県北秋田市,,84.6,,,,19.9,,49.7,50
052141,秋田県にかほ市,,50.5,52.1,53.9,56.1,59,50.5,52.8,55
052159,秋田県仙北市,,42.2,44.9,30.6,42.6,45.3,48,50.7,53.4
053031,秋田県小坂町,71.5,75.9,78.3,80.7,83.1,83.1,66.1,68.4,70.4
053279,秋田県上小阿仁村,,,,,,,,,
053465,秋田県藤里町,,72.6,74.7,76,74.3,76.8,79.6,78.3,75.9
053481,秋田県三種町,,69.2,70.9,73.3,74.3,76.8,79.6,78.3,75.9
053490,秋田県八峰町,,69.2,70.9,70.9,74.3,76.8,79.6,78.3,75.9
053619,秋田県五城目町,65.3,67.9,70.5,40.7,39.9,45,46.1,49.2,52.3
053635,秋田県八郎潟町,,,,,,92.8,93.6,94.3,95
053660,秋田県井川町,,,,,,,,,70.8
053686,秋田県大潟村,,41.1,32.9,36.2,42.3,42.7,45.9,49.2,52.5
054348,秋田県美郷町,,,,,42.6,45.3,48,50.7,53.4
